Accession	Protein name	Molecular Weight	pacFA.hit
Q5HZY7	ATPase, H+ transporting, lysosomal V1 subunit G1 OS=Mus musculus GN=Atp6v1g1 PE=2 SV=1	14 kDa	0
Q61072	Disintegrin and metalloproteinase domain-containing protein 9 OS=Mus musculus GN=Adam9 PE=2 SV=2	92 kDa	0
Q61081	Hsp90 co-chaperone Cdc37 OS=Mus musculus GN=Cdc37 PE=2 SV=1	45 kDa	0
Q62009	Isoform 2 of Periostin OS=Mus musculus GN=Postn	90 kDa	0
Q62179	Semaphorin-4B OS=Mus musculus GN=Sema4b PE=1 SV=2	91 kDa	0
Q62418	Drebrin-like protein OS=Mus musculus GN=Dbnl PE=1 SV=2	49 kDa	0
Q64337	Sequestosome-1 OS=Mus musculus GN=Sqstm1 PE=1 SV=1	48 kDa	0
Q6IRU2	Tropomyosin alpha-4 chain OS=Mus musculus GN=Tpm4 PE=2 SV=3	28 kDa	0
Q8BH64	EH domain-containing protein 2 OS=Mus musculus GN=Ehd2 PE=1 SV=1	61 kDa	0
Q8BJ48	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase OS=Mus musculus GN=Nagpa PE=2 SV=2	56 kDa	0
Q8C129	Leucyl-cystinyl aminopeptidase OS=Mus musculus GN=Lnpep PE=1 SV=1	117 kDa	0
Q8CFD4	Sorting nexin-8 OS=Mus musculus GN=Snx8 PE=2 SV=1	52 kDa	0
Q8K297	Procollagen galactosyltransferase 1 OS=Mus musculus GN=Glt25d1 PE=1 SV=2	71 kDa	0
Q91V35	Protein tyrosin phosphatase receptor type alpha OS=Mus musculus GN=Ptpra PE=2 SV=1	90 kDa	0
Q91VK4	Integral membrane protein 2C OS=Mus musculus GN=Itm2c PE=1 SV=2	30 kDa	0
Q91VR5	ATP-dependent RNA helicase DDX1 OS=Mus musculus GN=Ddx1 PE=1 SV=1	83 kDa	0
Q922U1	U4/U6 small nuclear ribonucleoprotein Prp3 OS=Mus musculus GN=Prpf3 PE=1 SV=1	77 kDa	0
Q9CXF4	TBC1 domain family member 15 OS=Mus musculus GN=Tbc1d15 PE=1 SV=1	77 kDa	0
Q9CYD3	Cartilage-associated protein OS=Mus musculus GN=Crtap PE=2 SV=3	46 kDa	0
Q9JM76	Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3	21 kDa	0
Q9QWR8	Alpha-N-acetylgalactosaminidase OS=Mus musculus GN=Naga PE=2 SV=2	47 kDa	0
Q9R1P0	Proteasome subunit alpha type-4 OS=Mus musculus GN=Psma4 PE=1 SV=1	29 kDa	0
Q9WVJ3	Carboxypeptidase Q OS=Mus musculus GN=Cpq PE=2 SV=1	52 kDa	0
Q9Z247	Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Mus musculus GN=Fkbp9 PE=1 SV=1	63 kDa	0
D3Z6I8	Tropomyosin alpha-3 chain OS=Mus musculus GN=Tpm3 PE=3 SV=1	29 kDa	0
E9QNJ0	Protein Zbtb11 OS=Mus musculus GN=Zbtb11 PE=4 SV=1	18 kDa	0
P06745	Glucose-6-phosphate isomerase OS=Mus musculus GN=Gpi PE=1 SV=4	63 kDa	0
P62814	V-type proton ATPase subunit B, brain isoform OS=Mus musculus GN=Atp6v1b2 PE=1 SV=1	57 kDa	0
Q3TXT7	RuvB-like protein 2 OS=Mus musculus GN=Ruvbl2 PE=2 SV=1	51 kDa	0
Q543H0	MCG16662 OS=Mus musculus GN=Srm PE=2 SV=1	34 kDa	0
Q543K5	Phosphoserine aminotransferase OS=Mus musculus GN=Psat1 PE=2 SV=1	40 kDa	0
Q5F283	Phospholipid scramblase 3 OS=Mus musculus GN=Plscr3 PE=2 SV=1	32 kDa	0
Q8QZY1	Eukaryotic translation initiation factor 3 subunit L OS=Mus musculus GN=Eif3l PE=1 SV=1	67 kDa	0
Q91XV3	Brain acid soluble protein 1 OS=Mus musculus GN=Basp1 PE=1 SV=3	22 kDa	0
Q9WV91	Prostaglandin F2 receptor negative regulator OS=Mus musculus GN=Ptgfrn PE=1 SV=2	99 kDa	0
A2APM1	CD44 antigen OS=Mus musculus GN=Cd44 PE=4 SV=1	72 kDa	0
A2AMY5	Ubiquitin-associated protein 2 OS=Mus musculus GN=Ubap2 PE=4 SV=1	118 kDa	1
A2API8	A kinase (PRKA) anchor protein 2 OS=Mus musculus GN=Akap2 PE=4 SV=1	102 kDa	1
A3KFU5	Poly A binding protein, cytoplasmic 4 OS=Mus musculus GN=Pabpc4 PE=4 SV=1	69 kDa	1
A6ZI44	Fructose-bisphosphate aldolase OS=Mus musculus GN=Aldoa PE=2 SV=1	45 kDa	1
D3YTQ3	Heterogeneous nuclear ribonucleoprotein D-like OS=Mus musculus GN=Hnrpdl PE=4 SV=1	46 kDa	1
D3YYI8	Histone deacetylase OS=Mus musculus GN=Gm10093 PE=3 SV=1	55 kDa	1
D3YZ47	Uncharacterized protein OS=Mus musculus GN=Gm5879 PE=3 SV=1	46 kDa	1
D3Z6N6	40S ribosomal protein S6 OS=Mus musculus GN=Rps6-ps1 PE=3 SV=1	29 kDa	1
E0CYH7	Filamin A-interacting protein 1-like OS=Mus musculus GN=Filip1l PE=4 SV=1	130 kDa	1
E9PZ51	Slit homolog 2 protein OS=Mus musculus GN=Slit2 PE=4 SV=1	171 kDa	1
E9Q1T1	Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus GN=Camk2d PE=4 SV=1	60 kDa	1
E9QAT0	Fragile X mental retardation protein 1 homolog OS=Mus musculus GN=Fmr1 PE=4 SV=1	66 kDa	1
E9QN92	Metalloreductase STEAP3 OS=Mus musculus GN=Steap3 PE=4 SV=1	59 kDa	1
E9QNH3	Sorting nexin-9 OS=Mus musculus GN=Snx9 PE=4 SV=1	66 kDa	1
E9QPI5	Sister chromatid cohesion protein PDS5 homolog A OS=Mus musculus GN=Pds5a PE=4 SV=1	150 kDa	1
F6TS28	Galectin-3 OS=Mus musculus GN=Lgals3 PE=4 SV=1	19 kDa	1
F6XLC7	Uncharacterized protein (Fragment) OS=Mus musculus GN=Nono PE=4 SV=1	60 kDa	1
F8VQC1	Protein Srp72 OS=Mus musculus GN=Srp72 PE=4 SV=1	75 kDa	1
F8WHU5	Sister chromatid cohesion protein PDS5 homolog B OS=Mus musculus GN=Pds5b PE=4 SV=1	165 kDa	1
G3UWG1	MCG115977 OS=Mus musculus GN=Gm10108 PE=3 SV=1	12 kDa	1
G3UXA6	Protein Rod1 OS=Mus musculus GN=Rod1 PE=4 SV=1	60 kDa	1
G3UYI5	Protein Magohb (Fragment) OS=Mus musculus GN=Magohb PE=4 SV=1	13 kDa	1
G3X926	MCG1407, isoform CRA_a OS=Mus musculus GN=Rpf2 PE=4 SV=1	31 kDa	1
O70480	Vesicle-associated membrane protein 4 OS=Mus musculus GN=Vamp4 PE=1 SV=1	16 kDa	1
O70591	Prefoldin subunit 2 OS=Mus musculus GN=Pfdn2 PE=2 SV=2	17 kDa	1
O88322	Nidogen-2 OS=Mus musculus GN=Nid2 PE=1 SV=2	154 kDa	1
O88544	COP9 signalosome complex subunit 4 OS=Mus musculus GN=Cops4 PE=1 SV=1	46 kDa	1
P05201	Aspartate aminotransferase, cytoplasmic OS=Mus musculus GN=Got1 PE=1 SV=3	46 kDa	1
P08249	Malate dehydrogenase, mitochondrial OS=Mus musculus GN=Mdh2 PE=1 SV=3	36 kDa	1
P14148	60S ribosomal protein L7 OS=Mus musculus GN=Rpl7 PE=2 SV=2	31 kDa	1
P14733	Lamin-B1 OS=Mus musculus GN=Lmnb1 PE=1 SV=3	67 kDa	1
P17427	AP-2 complex subunit alpha-2 OS=Mus musculus GN=Ap2a2 PE=1 SV=2	104 kDa	1
P19324	Serpin H1 OS=Mus musculus GN=Serpinh1 PE=1 SV=3	47 kDa	1
P29391	Ferritin light chain 1 OS=Mus musculus GN=Ftl1 PE=1 SV=2	21 kDa	1
P35441	Thrombospondin-1 OS=Mus musculus GN=Thbs1 PE=1 SV=1	130 kDa	1
P35979	60S ribosomal protein L12 OS=Mus musculus GN=Rpl12 PE=1 SV=2	18 kDa	1
P43276	Histone H1.5 OS=Mus musculus GN=Hist1h1b PE=1 SV=2	23 kDa	1
P46471	26S protease regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5	49 kDa	1
P49718	DNA replication licensing factor MCM5 OS=Mus musculus GN=Mcm5 PE=2 SV=1	82 kDa	1
P50518	V-type proton ATPase subunit E 1 OS=Mus musculus GN=Atp6v1e1 PE=1 SV=2	26 kDa	1
P50580	Proliferation-associated protein 2G4 OS=Mus musculus GN=Pa2g4 PE=1 SV=3	44 kDa	1
P54775	26S protease regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=2	47 kDa	1
P62267	40S ribosomal protein S23 OS=Mus musculus GN=Rps23 PE=2 SV=3	16 kDa	1
P62983	Ubiquitin-40S ribosomal protein S27a OS=Mus musculus GN=Rps27a PE=1 SV=2	18 kDa	1
P68372	Tubulin beta-4B chain OS=Mus musculus GN=Tubb4b PE=1 SV=1	50 kDa	1
P97311	DNA replication licensing factor MCM6 OS=Mus musculus GN=Mcm6 PE=1 SV=1	93 kDa	1
P99029	Isoform Cytoplasmic+peroxisomal of Peroxiredoxin-5, mitochondrial OS=Mus musculus GN=Prdx5	17 kDa	1
Q02248	Catenin beta-1 OS=Mus musculus GN=Ctnnb1 PE=1 SV=1	85 kDa	1
Q07813	Apoptosis regulator BAX OS=Mus musculus GN=Bax PE=1 SV=1	21 kDa	1
Q3TRK3	Drebrin 1 OS=Mus musculus GN=Dbn1 PE=2 SV=1	72 kDa	1
Q3U2W2	MYB binding protein (P160) 1a, isoform CRA_b OS=Mus musculus GN=Mybbp1a PE=2 SV=1	152 kDa	1
Q3U364	Tetraspanin-3 (Fragment) OS=Mus musculus GN=Tspan3 PE=2 SV=1	29 kDa	1
Q3UBX0	Transmembrane protein 109 OS=Mus musculus GN=Tmem109 PE=1 SV=2	26 kDa	1
Q3UEB3	Isoform 2 of Poly(U)-binding-splicing factor PUF60 OS=Mus musculus GN=Puf60	59 kDa	1
Q3ULF2	Putative uncharacterized protein OS=Mus musculus GN=Uhrf1 PE=2 SV=1	88 kDa	1
Q3V3R1	Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Mus musculus GN=Mthfd1l PE=1 SV=2	106 kDa	1
Q4FJY3	MCG129299 OS=Mus musculus GN=Tgoln1 PE=2 SV=1	38 kDa	1
Q505L1	Actin-like 6A, isoform CRA_a OS=Mus musculus GN=Actl6a PE=2 SV=1	47 kDa	1
Q50HX3	RAB14 protein variant OS=Mus musculus GN=Rab14 PE=2 SV=1	22 kDa	1
Q61033	Lamina-associated polypeptide 2, isoforms alpha/zeta OS=Mus musculus GN=Tmpo PE=1 SV=4	75 kDa	1
Q61686	Chromobox protein homolog 5 OS=Mus musculus GN=Cbx5 PE=1 SV=1	22 kDa	1
Q61990	Poly(rC)-binding protein 2 OS=Mus musculus GN=Pcbp2 PE=1 SV=1	38 kDa	1
Q6A0D1	MKIAA0103 protein (Fragment) OS=Mus musculus GN=Ttc35 PE=2 SV=1	35 kDa	1
Q78ZM0	Sorting nexin 3 OS=Mus musculus GN=Snx3 PE=2 SV=1	19 kDa	1
Q7TMK9	Isoform 2 of Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip	63 kDa	1
Q80W68	Kin of IRRE-like protein 1 OS=Mus musculus GN=Kirrel PE=1 SV=1	87 kDa	1
Q8BGJ5	MCG13402, isoform CRA_a OS=Mus musculus GN=Ptbp1 PE=2 SV=1	57 kDa	1
Q8BH74	Nuclear pore complex protein Nup107 OS=Mus musculus GN=Nup107 PE=2 SV=1	107 kDa	1
Q8BI72	CDKN2A-interacting protein OS=Mus musculus GN=Cdkn2aip PE=2 SV=1	60 kDa	1
Q8BKS9	Pumilio domain-containing protein KIAA0020 OS=Mus musculus GN=Kiaa0020 PE=2 SV=2	73 kDa	1
Q8BQM4	HEAT repeat-containing protein 3 OS=Mus musculus GN=Heatr3 PE=2 SV=1	74 kDa	1
Q8BX10	Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Mus musculus GN=Pgam5 PE=2 SV=1	32 kDa	1
Q8R404	Protein QIL1 OS=Mus musculus GN=Qil1 PE=2 SV=1	13 kDa	1
Q99MR6	Serrate RNA effector molecule homolog OS=Mus musculus GN=Srrt PE=1 SV=1	100 kDa	1
Q9CQ45	Neudesin OS=Mus musculus GN=Nenf PE=1 SV=1	19 kDa	1
Q9CU62	Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=4	143 kDa	1
Q9D0T1	NHP2-like protein 1 OS=Mus musculus GN=Nhp2l1 PE=2 SV=4	14 kDa	1
Q9ERU9	E3 SUMO-protein ligase RanBP2 OS=Mus musculus GN=Ranbp2 PE=1 SV=2	341 kDa	1
Q9JKK1	Syntaxin-6 OS=Mus musculus GN=Stx6 PE=1 SV=1	29 kDa	1
Q9QZE5	Coatomer subunit gamma-1 OS=Mus musculus GN=Copg1 PE=2 SV=1	98 kDa	1
Q9Z1P6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus GN=Ndufa7 PE=1 SV=3	13 kDa	1
A2BH07	MCG5487, isoform CRA_b OS=Mus musculus GN=Rpl11 PE=3 SV=1	20 kDa	1
D3Z2H2	Catenin delta-1 OS=Mus musculus GN=Ctnnd1 PE=4 SV=1	99 kDa	1
E9PWH9	Ribosomal protein L15 OS=Mus musculus GN=Gm4294 PE=3 SV=1	24 kDa	1
E9QLR3	Lysosomal-associated transmembrane protein 4A OS=Mus musculus GN=Laptm4a PE=4 SV=1	35 kDa	1
F8WJD9	Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=3 SV=1	23 kDa	1
P52927	High mobility group protein HMGI-C OS=Mus musculus GN=Hmga2 PE=1 SV=1	12 kDa	1
P62245	40S ribosomal protein S15a OS=Mus musculus GN=Rps15a PE=2 SV=2	15 kDa	1
P68033	Actin, alpha cardiac muscle 1 OS=Mus musculus GN=Actc1 PE=1 SV=1	42 kDa	1
Q3TAL2	Secretory carrier membrane protein 2 OS=Mus musculus GN=Scamp2 PE=2 SV=1	36 kDa	1
Q8BH04	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Mus musculus GN=Pck2 PE=2 SV=1	71 kDa	1
Q8BJY1	26S proteasome non-ATPase regulatory subunit 5 OS=Mus musculus GN=Psmd5 PE=2 SV=4	56 kDa	1
Q9CPY7	Cytosol aminopeptidase OS=Mus musculus GN=Lap3 PE=1 SV=3	56 kDa	1
Q9R190	Metastasis-associated protein MTA2 OS=Mus musculus GN=Mta2 PE=1 SV=1	75 kDa	1
A1L3B8	Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 7 OS=Mus musculus GN=Psmd7 PE=2 SV=1	37 kDa	1
P62852	40S ribosomal protein S25 OS=Mus musculus GN=Rps25 PE=2 SV=1	14 kDa	1
Q542F1	Chloride intracellular channel 1, isoform CRA_c OS=Mus musculus GN=Clic1 PE=2 SV=1	27 kDa	1
A2A4L8	MCG15366, isoform CRA_c OS=Mus musculus GN=Smarce1 PE=4 SV=1	47 kDa	2
A2A5N2	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta OS=Mus musculus GN=Ywhab PE=2 SV=1	28 kDa	2
A2A6F9	Ribosomal protein L23 OS=Mus musculus GN=Rpl23 PE=3 SV=1	15 kDa	2
A2A8R9	Transmembrane protein 48 OS=Mus musculus GN=Tmem48 PE=4 SV=1	75 kDa	2
A2ADH1	Magnesium transporter 1 OS=Mus musculus GN=Magt1 PE=4 SV=1	42 kDa	2
A2AGN7	26S protease regulatory subunit 6A OS=Mus musculus GN=Psmc3 PE=3 SV=1	45 kDa	2
A2AJ72	Far upstream element (FUSE) binding protein 3 OS=Mus musculus GN=Fubp3 PE=4 SV=1	61 kDa	2
A2AL12	Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=4 SV=1	34 kDa	2
A2APD6	MCG9901, isoform CRA_a OS=Mus musculus GN=Nop56 PE=4 SV=1	64 kDa	2
A2ATK1	5'-3' exoribonuclease 2 OS=Mus musculus GN=Xrn2 PE=4 SV=1	109 kDa	2
A2AVJ7	Ribosome binding protein 1 OS=Mus musculus GN=Rrbp1 PE=4 SV=1	158 kDa	2
A4FUS1	MCG123443 OS=Mus musculus GN=Rps16 PE=1 SV=1	16 kDa	2
B1AY76	Thioredoxin domain containing 4 (Endoplasmic reticulum) OS=Mus musculus GN=Erp44 PE=4 SV=1	47 kDa	2
B2KGE6	MARCKS-like 1 OS=Mus musculus GN=Marcksl1 PE=4 SV=1	20 kDa	2
B2MWM9	Calreticulin OS=Mus musculus GN=Calr PE=2 SV=1	48 kDa	2
B2RV69	Expressed sequence AI316787 OS=Mus musculus GN=Tmem199 PE=2 SV=1	23 kDa	2
B2RY56	RNA-binding protein 25 OS=Mus musculus GN=Rbm25 PE=1 SV=1	100 kDa	2
D3YTS1	Sec11-like 1 (S. cerevisiae), isoform CRA_d OS=Mus musculus GN=Sec11a PE=4 SV=1	28 kDa	2
D3YUK4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 (Fragment) OS=Mus musculus GN=Ndufb10 PE=4 SV=1	18 kDa	2
D3Z1X8	SWI/SNF complex subunit SMARCC1 OS=Mus musculus GN=Smarcc1 PE=4 SV=1	107 kDa	2
D3Z2T7	MCG123716 OS=Mus musculus GN=Gm10247 PE=4 SV=1	13 kDa	2
D3Z3R1	60S ribosomal protein L36 OS=Mus musculus GN=Gm5745 PE=3 SV=1	12 kDa	2
D3Z4H3	Uncharacterized protein OS=Mus musculus GN=Gm10154 PE=4 SV=1	13 kDa	2
E9PXE7	40S ribosomal protein S11 OS=Mus musculus GN=Rps11 PE=3 SV=1	19 kDa	2
E9PXX7	Thioredoxin domain-containing protein 5 OS=Mus musculus GN=Txndc5 PE=3 SV=1	39 kDa	2
E9Q1G8	Septin-7 OS=Mus musculus GN=Sept7 PE=3 SV=1	49 kDa	2
E9Q3S1	Low-density lipoprotein receptor OS=Mus musculus GN=Ldlr PE=4 SV=1	89 kDa	2
E9Q450	Tropomyosin alpha-1 chain OS=Mus musculus GN=Tpm1 PE=3 SV=1	33 kDa	2
E9Q5B1	Vesicle transport through interaction with t-SNAREs homolog 1B OS=Mus musculus GN=Vti1b PE=4 SV=1	27 kDa	2
E9Q6U9	Collagen alpha-2(I) chain OS=Mus musculus GN=Col1a2 PE=4 SV=1	120 kDa	2
E9Q762	Structural maintenance of chromosomes protein 3 OS=Mus musculus GN=Smc3 PE=4 SV=1	142 kDa	2
E9QKX9	Tapasin OS=Mus musculus GN=Tapbp PE=4 SV=1	47 kDa	2
E9QMN5	Transcriptional repressor p66 alpha OS=Mus musculus GN=Gatad2a PE=4 SV=1	67 kDa	2
E9QQ06	H-2 class I histocompatibility antigen, D-B alpha chain OS=Mus musculus GN=H2-D1 PE=3 SV=1	41 kDa	2
F6QE87	Septin-11 OS=Mus musculus GN=Sept11 PE=3 SV=1	49 kDa	2
F6YBI4	EH domain-containing protein 1 OS=Mus musculus GN=Ehd1 PE=4 SV=1	63 kDa	2
F7BBI3	Uncharacterized protein (Fragment) OS=Mus musculus GN=Rps17 PE=3 SV=1	16 kDa	2
F7C846	Metaxin-1 OS=Mus musculus GN=Mtx1 PE=4 SV=1	51 kDa	2
F8WI94	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=3 SV=1	115 kDa	2
F8WIT2	Annexin OS=Mus musculus GN=Anxa6 PE=3 SV=1	75 kDa	2
G3X9I1	DNA segment, Chr 6, Wayne State University 176, expressed, isoform CRA_a OS=Mus musculus GN=Fam3c PE=4 SV=1	21 kDa	2
G3X9L6	MCG55033 OS=Mus musculus GN=Gm10250 PE=4 SV=1	19 kDa	2
G3X9U9	Fission 1 (Mitochondrial outer membrane) homolog (Yeast), isoform CRA_c OS=Mus musculus GN=Fis1 PE=4 SV=1	16 kDa	2
G5E850	Cytochrome b-5, isoform CRA_a OS=Mus musculus GN=Cyb5 PE=3 SV=1	11 kDa	2
G5E866	Splicing factor 3B subunit 1 OS=Mus musculus GN=Sf3b1 PE=4 SV=1	146 kDa	2
G8JL68	Myelin expression factor 2 (Fragment) OS=Mus musculus GN=Myef2 PE=4 SV=1	57 kDa	2
O08547	Vesicle-trafficking protein SEC22b OS=Mus musculus GN=Sec22b PE=1 SV=3	25 kDa	2
O08795	Glucosidase 2 subunit beta OS=Mus musculus GN=Prkcsh PE=1 SV=1	59 kDa	2
O09167	60S ribosomal protein L21 OS=Mus musculus GN=Rpl21 PE=2 SV=3	19 kDa	2
O35245	Polycystin-2 OS=Mus musculus GN=Pkd2 PE=1 SV=2	109 kDa	2
O35405	Phospholipase D3 OS=Mus musculus GN=Pld3 PE=2 SV=1	54 kDa	2
O70404	Vesicle-associated membrane protein 8 OS=Mus musculus GN=Vamp8 PE=1 SV=1	11 kDa	2
O88696	Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Mus musculus GN=Clpp PE=2 SV=1	30 kDa	2
O89116	Vesicle transport through interaction with t-SNAREs homolog 1A OS=Mus musculus GN=Vti1a PE=1 SV=1	25 kDa	2
P14152	Malate dehydrogenase, cytoplasmic OS=Mus musculus GN=Mdh1 PE=1 SV=3	37 kDa	2
P18572	Basigin OS=Mus musculus GN=Bsg PE=1 SV=2	42 kDa	2
P21619	Lamin-B2 OS=Mus musculus GN=Lmnb2 PE=1 SV=2	67 kDa	2
P26645	Myristoylated alanine-rich C-kinase substrate OS=Mus musculus GN=Marcks PE=1 SV=2	30 kDa	2
P27046	Alpha-mannosidase 2 OS=Mus musculus GN=Man2a1 PE=1 SV=2	132 kDa	2
P28658	Ataxin-10 OS=Mus musculus GN=Atxn10 PE=1 SV=2	54 kDa	2
P30412	Peptidyl-prolyl cis-trans isomerase C OS=Mus musculus GN=Ppic PE=1 SV=1	23 kDa	2
P32233	Developmentally-regulated GTP-binding protein 1 OS=Mus musculus GN=Drg1 PE=1 SV=1	41 kDa	2
P35564	Calnexin OS=Mus musculus GN=Canx PE=1 SV=1	67 kDa	2
P37040	NADPH--cytochrome P450 reductase OS=Mus musculus GN=Por PE=1 SV=2	77 kDa	2
P37804	Transgelin OS=Mus musculus GN=Tagln PE=1 SV=3	23 kDa	2
P41105	60S ribosomal protein L28 OS=Mus musculus GN=Rpl28 PE=1 SV=2	16 kDa	2
P42208	Septin-2 OS=Mus musculus GN=Sept2 PE=1 SV=2	42 kDa	2
P43275	Histone H1.1 OS=Mus musculus GN=Hist1h1a PE=2 SV=2	22 kDa	2
P47911	60S ribosomal protein L6 OS=Mus musculus GN=Rpl6 PE=1 SV=3	34 kDa	2
P48036	Annexin A5 OS=Mus musculus GN=Anxa5 PE=1 SV=1	36 kDa	2
P52019	Squalene monooxygenase OS=Mus musculus GN=Sqle PE=2 SV=1	64 kDa	2
P60122	RuvB-like 1 OS=Mus musculus GN=Ruvbl1 PE=1 SV=1	50 kDa	2
P60766	Cell division control protein 42 homolog OS=Mus musculus GN=Cdc42 PE=1 SV=2	21 kDa	2
P62305	Small nuclear ribonucleoprotein E OS=Mus musculus GN=Snrpe PE=2 SV=1	11 kDa	2
P62317	Small nuclear ribonucleoprotein Sm D2 OS=Mus musculus GN=Snrpd2 PE=2 SV=1	14 kDa	2
P62827	GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=1 SV=3	24 kDa	2
P62889	60S ribosomal protein L30 OS=Mus musculus GN=Rpl30 PE=2 SV=2	13 kDa	2
P62918	60S ribosomal protein L8 OS=Mus musculus GN=Rpl8 PE=2 SV=2	28 kDa	2
P62965	Cellular retinoic acid-binding protein 1 OS=Mus musculus GN=Crabp1 PE=1 SV=2	16 kDa	2
P63001	Ras-related C3 botulinum toxin substrate 1 OS=Mus musculus GN=Rac1 PE=1 SV=1	21 kDa	2
P63037	DnaJ homolog subfamily A member 1 OS=Mus musculus GN=Dnaja1 PE=1 SV=1	45 kDa	2
P68040	Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Mus musculus GN=Gnb2l1 PE=1 SV=3	35 kDa	2
P81117	Nucleobindin-2 OS=Mus musculus GN=Nucb2 PE=1 SV=2	50 kDa	2
P97807	Fumarate hydratase, mitochondrial OS=Mus musculus GN=Fh PE=1 SV=3	54 kDa	2
Q08509	Epidermal growth factor receptor kinase substrate 8 OS=Mus musculus GN=Eps8 PE=1 SV=2	92 kDa	2
Q3TEA8	Heterochromatin protein 1-binding protein 3 OS=Mus musculus GN=Hp1bp3 PE=1 SV=1	61 kDa	2
Q3TIV6	Lysyl-tRNA synthetase OS=Mus musculus GN=Kars PE=2 SV=1	68 kDa	2
Q3TML6	Eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked OS=Mus musculus GN=Eif2s3x PE=2 SV=1	51 kDa	2
Q3TUE1	Far upstream element-binding protein 1 OS=Mus musculus GN=Fubp1 PE=2 SV=1	67 kDa	2
Q3TVJ8	Signal sequence receptor, delta OS=Mus musculus GN=Ssr4 PE=2 SV=1	19 kDa	2
Q3UL31	Zinc finger CCCH type containing 11A OS=Mus musculus GN=Zc3h11a PE=2 SV=1	86 kDa	2
Q4FK30	Scarb1 protein OS=Mus musculus GN=Scarb1 PE=2 SV=1	57 kDa	2
Q4FK79	Signal sequence receptor, gamma, isoform CRA_a OS=Mus musculus GN=Ssr3 PE=2 SV=1	21 kDa	2
Q4VAE6	Ras homolog gene family, member A OS=Mus musculus GN=Rhoa PE=2 SV=1	22 kDa	2
Q505D7	Optic atrophy 3 protein homolog OS=Mus musculus GN=Opa3 PE=1 SV=1	20 kDa	2
Q545H3	Translocase of inner mitochondrial membrane 17b OS=Mus musculus GN=Timm17b PE=2 SV=1	18 kDa	2
Q545U2	Translocase of inner mitochondrial membrane 17a OS=Mus musculus GN=Timm17a PE=2 SV=1	18 kDa	2
Q5BL18	Matrin 3 OS=Mus musculus GN=Matr3 PE=2 SV=1	95 kDa	2
Q5RL20	39S ribosomal protein L43, mitochondrial OS=Mus musculus GN=Mrpl43 PE=2 SV=1	18 kDa	2
Q5SVX3	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56 OS=Mus musculus GN=Ddx56 PE=2 SV=1	61 kDa	2
Q69ZP3	Isoform 2 of Probable hydrolase PNKD OS=Mus musculus GN=Pnkd	16 kDa	2
Q6DFW4	Nucleolar protein 58 OS=Mus musculus GN=Nop58 PE=1 SV=1	60 kDa	2
Q6NSU3	Glycosyltransferase 8 domain-containing protein 1 OS=Mus musculus GN=Glt8d1 PE=2 SV=1	42 kDa	2
Q6P5E4	UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus GN=Uggt1 PE=1 SV=4	176 kDa	2
Q6P9J9	Anoctamin-6 OS=Mus musculus GN=Ano6 PE=1 SV=1	106 kDa	2
Q6QD59	Vesicle transport protein SEC20 OS=Mus musculus GN=Bnip1 PE=2 SV=1	26 kDa	2
Q78PY7	Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1	102 kDa	2
Q8BH80	Vesicle-associated membrane protein, associated protein B and C OS=Mus musculus GN=Vapb PE=2 SV=1	27 kDa	2
Q8BHC4	Dephospho-CoA kinase domain-containing protein OS=Mus musculus GN=Dcakd PE=2 SV=1	26 kDa	2
Q8BK72	28S ribosomal protein S27, mitochondrial OS=Mus musculus GN=Mrps27 PE=2 SV=2	48 kDa	2
Q8BLM5	Transmembrane emp24 domain-containing protein 9 OS=Mus musculus GN=Tmed9 PE=2 SV=1	18 kDa	2
